id,type,area_id,label,positions,
controller_garage_1,Controller128,Garage Cabinet,,,
controller_garage_2,Controller128,Garage Cabinet,,,
controller_garage_3,Controller64,Garage Cabinet,,,
controller_garage_4,Controller64,Garage Cabinet,,,
controller_garage_5,Controller32,Garage Cabinet,,,
controller_garage_6,Controller32,Garage Cabinet,,,
button_entrance_main_1,Button,Entrance,Main_1,,
button_entrance_main_2,Button,Entrance,Main_2,,
button_entrance_main_3,Button,Entrance,Main_3,,
button_entrance_main_4,Button,Entrance,Main_4,,
button_entrance_aside_1,Button,Entrance,Aside_1,,a
button_entrance_aside_2,Button,Entrance,Aside_2,,
button_garage_main_1,Button,Garage,Main_1,,
button_garage_main_2,Button,Garage,Main_2,,
button_garage_main_3,Button,Garage,Main_3,,
button_garage_desk_1,Button,Garage,Desk_1,,
button_garage_desk_2,Button,Garage,Desk_2,,
button_garage_desk_3,Button,Garage,Desk_3,,
button_boiler_room_main_1,Button,Boiler Room,Main_1,,
button_boiler_room_main_2,Button,Boiler Room,Main_2,,
button_dining_room_toilet_1,Button,Dining Room,Toilet_1,,
button_dining_room_toilet_2,Button,Dining Room,Toilet_2,,
button_toilet_main_1,Button,Toilet,Main_1,,
button_front_main_1,Button,Front,Main_1,,
button_front_main_2,Button,Front,Main_2,,
button_dining_room_main_1,Button,Dining Room,Main_1,,
button_dining_room_main_2,Button,Dining Room,Main_2,,
button_living_room_secondary_1,Button,Living Room,Secondary_1,,
button_living_room_secondary_2,Button,Living Room,Secondary_2,,
button_living_room_library_1,Button,Living Room,Library_1,,
button_kitchen_island_1,Button,Kitchen,Island_1,,
button_kitchen_island_2,Button,Kitchen,Island_2,,
button_dining_room_toilet_3,Button,Dining Room,Toilet_3,,
button_kitchen_cooker_1,Button,Kitchen,Cooker_1,,
button_kitchen_cooker_2,Button,Kitchen,Cooker_2,,
button_office_main_1,Button,Office,Main_1,,
button_office_main_2,Button,Office,Main_2,,
button_office_desk_1,Button,Office,Desk_1,,
button_office_desk_2,Button,Office,Desk_2,,
button_office_bed_1,Button,Office,Bed_1,,
button_dining_room_main_3,Button,Dining Room,Main_3,,
button_living_room_secondary_3,Button,Living Room,Secondary_3,,
button_living_room_main_1,Button,Living Room,Main_1,,
button_living_room_main_2,Button,Living Room,Main_2,,
button_living_room_main_3,Button,Living Room,Main_3,,
button_living_room_main_4,Button,Living Room,Main_4,,
button_library_main_1,Button,Library,Main_1,,
button_library_main_2,Button,Library,Main_2,,
button_library_main_3,Button,Library,Main_3,,
button_hall_stairs_1,Button,Hall,Stairs_1,,
button_hall_stairs_2,Button,Hall,Stairs_2,,
button_hall_terrace_1,Button,Hall,Terrace_1,,
button_hall_terrace_2,Button,Hall,Terrace_2,,
button_hall_terrace_3,Button,Hall,Terrace_3,,
button_hall_terrace_4,Button,Hall,Terrace_4,,
button_hall_main_1,Button,Hall,Main_1,,
button_hall_main_2,Button,Hall,Main_2,,
button_hall_bathroom_2,Button,Hall,Bathroom_2,,
button_hall_bathroom_1,Button,Hall,Bathroom_1,,
button_hall_bathroom_3,Button,Hall,Bathroom_3,,
button_bathroom_main_2,Button,Bathroom,Main_2,,
button_bathroom_main_1,Button,Bathroom,Main_1,,
button_bedroom_1_main_2,Button,Bedroom 1,Main_2,,
button_bedroom_1_main_1,Button,Bedroom 1,Main_1,,
button_bedroom_1_main_3,Button,Bedroom 1,Main_3,,
button_bedroom_1_wardrobe_1,Button,Bedroom 1,Wardrobe_1,,
button_bedroom_1_wardrobe_2,Button,Bedroom 1,Wardrobe_2,,
button_bedroom_2_main_2,Button,Bedroom 2,Main_2,,
button_bedroom_2_main_1,Button,Bedroom 2,Main_1,,
button_bedroom_2_aside_1,Button,Bedroom 2,Aside_1,,
button_bedroom_3_aside_1,Button,Bedroom 3,Aside_1,,
button_bedroom_3_main_1,Button,Bedroom 3,Main_1,,
button_bedroom_3_main_2,Button,Bedroom 3,Main_2,,
light_entrance_main_a1,Light,Entrance,Main A1,,
light_entrance_aside_a2,Light,Entrance,Aside A2,,
light_entrance_hanger_a3,Light,Entrance,Hanger A3,,
light_entrance_wardrobe_a4,Light,Entrance,Wardrobe A4,,
light_front_main_ao,Light,Front,Main Ao,,
light_front_aside_ax,Light,Front,Aside Ax,,
light_garage_aside_b1,Light,Garage,Aside B1,,
light_garage_ceiling_b2,Light,Garage,Ceiling B2,,
light_garage_alcove_b3,Light,Garage,Alcove B3,,
light_boiler_room_main_c1,Light,Boiler Room,Main C1,,
light_boiler_room_aside_c2,Light,Boiler Room,Aside C2,,
light_dining_room_main_d1,Light,Dining Room,Main D1,,
light_dining_room_aside_d2,Light,Dining Room,Aside D2,,
light_living_room_main_d3,Light,Living Room,Main D3,,
light_living_room_tv_wall_d4,Light,Living Room,TV Wall D4,,
light_terrace_living_room_main_do,Light,Terrace,Living Room Main Do,,
light_terrace_dining_room_garden_dp,Light,Terrace,Dining Room Garden Dp,,
light_terrace_dining_room_main_du,Light,Terrace,Dining Room Main Du,,
light_terrace_dining_room_aside_dw,Light,Terrace,Dining Room Aside Dw,,
