device_type,location_id,area,location_description,location_slot,wire_color,controller_id,controller_pin,debug_id
Button,1,Entrance,Main,1,,controller01,0,C1_IN_0_mcp23017_hub_0_0
Button,1,Entrance,Main,2,,controller01,1,C1_IN_1_mcp23017_hub_0_1
Button,1,Entrance,Main,3,,controller01,2,C1_IN_2_mcp23017_hub_0_2
Button,1,Entrance,Main,4,,controller01,,
Button,2,Entrance,Aside,1,,controller01,3,C1_IN_3_mcp23017_hub_0_3
Button,2,Entrance,Aside,2,,controller01,4,C1_IN_4_mcp23017_hub_0_4
Button,3,Garage,Main,1,,controller01,5,C1_IN_5_mcp23017_hub_0_5
Button,3,Garage,Main,2,,controller01,6,C1_IN_6_mcp23017_hub_0_6
Button,3,Garage,Main,3,,controller01,,
Button,4,Garage,Desk,1,,controller01,7,C1_IN_7_mcp23017_hub_0_7
Button,4,Garage,Desk,2,,controller01,8,C1_IN_8_mcp23017_hub_0_8
Button,4,Garage,Desk,3,,controller01,9,C1_IN_9_mcp23017_hub_0_9
Button,5,Boiler Room,Main,1,,controller01,10,C1_IN_10_mcp23017_hub_0_10
Button,5,Boiler Room,Main,2,,controller01,11,C1_IN_11_mcp23017_hub_0_11
Button,17,Dining Room,Toilet,1,,controller01,13,C1_IN_13_mcp23017_hub_0_13
Button,17,Dining Room,Toilet,2,,controller01,14,C1_IN_14_mcp23017_hub_0_14
Button,18,Toilet,Main,1,,controller01,15,C1_IN_15_mcp23017_hub_0_15
Button,0,Front,Main,1,,controller01,16,C1_IN_16_mcp23017_hub_1_0
Button,0,Front,Main,2,,controller01,17,C1_IN_17_mcp23017_hub_1_1
Button,6,Dining Room,Main,1,,controller02,0,C2_IN_0_mcp23017_hub_0_0
Button,6,Dining Room,Main,2,,controller02,1,C2_IN_1_mcp23017_hub_0_1
Button,7,Living Room,Secondary,1,,controller02,2,C2_IN_2_mcp23017_hub_0_2
Button,7,Living Room,Secondary,2,,controller02,3,C2_IN_3_mcp23017_hub_0_3
Button,9,Living Room,Library,1,,controller02,5,C2_IN_5_mcp23017_hub_0_5
Button,11,Kitchen,Island,1,,controller02,6,C2_IN_6_mcp23017_hub_0_6
Button,11,Kitchen,Island,2,,controller02,7,C2_IN_7_mcp23017_hub_0_7
Button,17,Dining Room,Toilet,3,,controller02,7,C2_IN_7_mcp23017_hub_0_7
Button,12,Kitchen,Cooker,1,,controller02,8,C2_IN_8_mcp23017_hub_0_8
Button,12,Kitchen,Cooker,2,,controller02,9,C2_IN_9_mcp23017_hub_0_9
Button,17b,Dining Room,Toilet,1,,controller02,8,C2_IN_8_mcp23017_hub_0_8
Button,17b,Dining Room,Toilet,2,,controller02,9,C2_IN_9_mcp23017_hub_0_9
Button,14,Office,Main,1,,controller02,12,C2_IN_12_mcp23017_hub_0_12
Button,14,Office,Main,2,,controller02,,
Button,15,Office,Desk,1,,controller02,13,C2_IN_13_mcp23017_hub_0_13
Button,15,Office,Desk,2,,controller02,14,C2_IN_14_mcp23017_hub_0_14
Button,16,Office,Bed,1,,controller02,15,C2_IN_15_mcp23017_hub_0_15
Button,6,Dining Room,Main,3,,controller03,0,C3_IN_0_mcp23017_hub_0_0
Button,7,Living Room,Secondary,2,,controller03,2,C3_IN_2_mcp23017_hub_0_2
Button,7,Living Room,Secondary,3,,controller03,3,C3_IN_3_mcp23017_hub_0_3
Button,8,Living Room,Main,1,,controller03,6,C3_IN_6_mcp23017_hub_0_6
Button,8,Living Room,Main,2,,controller03,7,C3_IN_7_mcp23017_hub_0_7
